Y,M,D,H,DTW_ft,DTW_m
2013,10,25,2,149.8,45.65904
2013,10,25,3,149.81,45.662088
2013,10,25,4,149.8,45.65904
2013,10,25,5,149.8,45.65904
2013,10,25,6,149.8,45.65904
2013,10,25,7,149.8,45.65904
2013,10,25,8,149.8,45.65904
2013,10,25,9,149.8,45.65904
2013,10,25,10,149.8,45.65904
2013,10,25,11,149.8,45.65904
2013,10,25,12,149.8,45.65904
2013,10,25,13,149.81,45.662088
2013,10,25,14,149.8,45.65904
2013,10,25,15,149.81,45.662088
2013,10,25,16,149.81,45.662088
2013,10,25,17,149.81,45.662088
2013,10,25,18,149.81,45.662088
2013,10,25,19,149.82,45.665136
2013,10,25,20,149.81,45.662088
2013,10,25,21,149.82,45.665136
2013,10,25,22,149.82,45.665136
2013,10,25,23,149.82,45.665136
2013,10,26,0,149.82,45.665136
2013,10,26,1,149.82,45.665136
2013,10,26,2,149.81,45.662088
2013,10,26,3,149.81,45.662088
2013,10,26,4,149.8,45.65904
2013,10,26,5,149.79,45.655992
2013,10,26,6,149.78,45.652944
2013,10,26,7,149.78,45.652944
2013,10,26,8,149.77,45.649896
2013,10,26,9,149.76,45.646848
2013,10,26,10,149.75,45.6438
2013,10,26,11,149.75,45.6438
2013,10,26,12,149.73,45.637704
2013,10,26,13,149.73,45.637704
2013,10,26,14,149.72,45.634656
2013,10,26,15,149.71,45.631608
2013,10,26,16,149.7,45.62856
2013,10,26,17,149.7,45.62856
2013,10,26,18,149.7,45.62856
2013,10,26,19,149.69,45.625512
2013,10,26,20,149.68,45.622464
2013,10,26,21,149.68,45.622464
2013,10,26,22,149.67,45.619416
2013,10,26,23,149.67,45.619416
2013,10,27,0,149.66,45.616368
2013,10,27,1,149.65,45.61332
2013,10,27,2,149.64,45.610272
2013,10,27,3,149.63,45.607224
2013,10,27,4,149.61,45.601128
2013,10,27,5,149.59,45.595032
2013,10,27,6,149.58,45.591984
2013,10,27,7,149.56,45.585888
2013,10,27,8,149.54,45.579792
2013,10,27,9,149.53,45.576744
2013,10,27,10,149.51,45.570648
2013,10,27,11,149.5,45.5676
2013,10,27,12,149.49,45.564552
2013,10,27,13,149.48,45.561504
2013,10,27,14,149.48,45.561504
2013,10,27,15,149.47,45.558456
2013,10,27,16,149.47,45.558456
2013,10,27,17,149.47,45.558456
2013,10,27,18,149.46,45.555408
2013,10,27,19,149.46,45.555408
2013,10,27,20,149.46,45.555408
2013,10,27,21,149.47,45.558456
2013,10,27,22,149.47,45.558456
2013,10,27,23,149.47,45.558456
2013,10,28,0,149.48,45.561504
2013,10,28,1,149.48,45.561504
2013,10,28,2,149.48,45.561504
2013,10,28,3,149.48,45.561504
2013,10,28,4,149.48,45.561504
2013,10,28,5,149.47,45.558456
2013,10,28,6,149.47,45.558456
2013,10,28,7,149.47,45.558456
2013,10,28,8,149.46,45.555408
2013,10,28,9,149.46,45.555408
2013,10,28,10,149.45,45.55236
2013,10,28,11,149.45,45.55236
2013,10,28,12,149.45,45.55236
2013,10,28,13,149.45,45.55236
2013,10,28,14,149.44,45.549312
2013,10,28,15,149.44,45.549312
2013,10,28,16,149.45,45.55236
2013,10,28,17,149.44,45.549312
2013,10,28,18,149.45,45.55236
2013,10,28,19,149.45,45.55236
2013,10,28,20,149.45,45.55236
2013,10,28,21,149.45,45.55236
2013,10,28,22,149.44,45.549312
2013,10,28,23,149.45,45.55236
2013,10,29,0,149.44,45.549312
2013,10,29,1,149.43,45.546264
2013,10,29,2,149.43,45.546264
2013,10,29,3,149.42,45.543216
2013,10,29,4,149.41,45.540168
2013,10,29,5,149.41,45.540168
2013,10,29,6,149.39,45.534072
2013,10,29,7,149.39,45.534072
2013,10,29,8,149.37,45.527976
2013,10,29,9,149.36,45.524928
2013,10,29,10,149.35,45.52188
2013,10,29,11,149.33,45.515784
2013,10,29,12,149.32,45.512736
2013,10,29,13,149.31,45.509688
2013,10,29,14,149.29,45.503592
2013,10,29,15,149.27,45.497496
2013,10,29,16,149.24,45.488352
2013,10,29,17,149.21,45.479208
2013,10,29,18,149.18,45.470064
2013,10,29,19,149.15,45.46092
2013,10,29,20,149.12,45.451776
2013,10,29,21,149.08,45.439584
2013,10,29,22,149.04,45.427392
2013,10,29,23,149,45.4152
2013,10,30,0,148.96,45.403008
2013,10,30,1,148.92,45.390816
2013,10,30,2,148.88,45.378624
2013,10,30,3,148.84,45.366432
2013,10,30,4,148.81,45.357288
2013,10,30,5,148.78,45.348144
2013,10,30,6,148.76,45.342048
2013,10,30,7,148.75,45.339
2013,10,30,8,148.73,45.332904
2013,10,30,9,148.72,45.329856
2013,10,30,10,148.71,45.326808
2013,10,30,11,148.7,45.32376
2013,10,30,12,148.69,45.320712
2013,10,30,13,148.68,45.317664
2013,10,30,14,148.66,45.311568
2013,10,30,15,148.65,45.30852
2013,10,30,16,148.64,45.305472
2013,10,30,17,148.62,45.299376
2013,10,30,18,148.62,45.299376
2013,10,30,19,148.6,45.29328
2013,10,30,20,148.59,45.290232
2013,10,30,21,148.58,45.287184
2013,10,30,22,148.57,45.284136
2013,10,30,23,148.56,45.281088
2013,10,31,0,148.56,45.281088
2013,10,31,1,148.55,45.27804
2013,10,31,2,148.54,45.274992
2013,10,31,3,148.53,45.271944
2013,10,31,4,148.52,45.268896
2013,10,31,5,148.51,45.265848
2013,10,31,6,148.5,45.2628
2013,10,31,7,148.5,45.2628
2013,10,31,8,148.49,45.259752
2013,10,31,9,148.47,45.253656
2013,10,31,10,148.45,45.24756
2013,10,31,11,148.42,45.238416
2013,10,31,12,148.4,45.23232
2013,10,31,13,148.37,45.223176
2013,10,31,14,148.34,45.214032
2013,10,31,15,148.3,45.20184
2013,10,31,16,148.27,45.192696
2013,10,31,17,148.23,45.180504
2013,10,31,18,148.19,45.168312
2013,10,31,19,148.15,45.15612
2013,10,31,20,148.11,45.143928
2013,10,31,21,148.07,45.131736
2013,10,31,22,148.04,45.122592
2013,10,31,23,148,45.1104
2013,11,1,0,147.97,45.101256
2013,11,1,1,147.96,45.098208
2013,11,1,2,147.94,45.092112
2013,11,1,3,147.92,45.086016
2013,11,1,4,147.89,45.076872
2013,11,1,5,147.88,45.073824
2013,11,1,6,147.86,45.067728
2013,11,1,7,147.84,45.061632
2013,11,1,8,147.83,45.058584
2013,11,1,9,147.81,45.052488
2013,11,1,10,147.8,45.04944
2013,11,1,11,147.78,45.043344
2013,11,1,12,147.77,45.040296
2013,11,1,13,147.74,45.031152
2013,11,1,14,147.71,45.022008
2013,11,1,15,147.68,45.012864
2013,11,1,16,147.65,45.00372
2013,11,1,17,147.62,44.994576
2013,11,1,18,147.6,44.98848
2013,11,1,19,147.58,44.982384
2013,11,1,20,147.56,44.976288
2013,11,1,21,147.54,44.970192
2013,11,1,22,147.53,44.967144
2013,11,1,23,147.52,44.964096
2013,11,2,0,147.51,44.961048
2013,11,2,1,147.5,44.958
2013,11,2,2,147.49,44.954952
2013,11,2,3,147.49,44.954952
2013,11,2,4,147.48,44.951904
